CODE,XMMC,XMDZ,location,pname,city,vname
21538,三水市交通房产楼盘,文锋路,,,,
21540,全信大厦,佛山市三水区西南街道康岗路28号,,,,
21542,锦江豪庭,佛山市三水区芦苞镇龙坡三路1号,,,,
21553,丽日天鹅湖,佛山市三水区佛山市三水区云东海街道学海中路8号天泓苑,,,,
21590,城中建设房产楼盘,佛山市三水区,,,,
21607,聚福大厦,佛山市三水区西南街道三达路17号,,,,
21609,明智房产楼盘,佛山市三水区,,,,
21611,三水·深业云东海花园,佛山市三水区,,,,
21629,日美名轩,佛山市三水区西南街道三达路32号日美名轩,,,,
21636,三水恒福水岸花园,佛山市三水区,,,,
21642,三水恒福广场,佛山市三水区西南街道文锋东路2号三水恒福广场,,,,
21648,云东海高尔夫花园,佛山市三水区云东海街道学海中路1号云东海高尔夫花园,,,,
21652,明珠湾花园,佛山市三水区西南街道西河路六号,,,,
21657,华联房产楼盘,佛山市三水区,,,,
21660,北江明珠花园,佛山市三水区西南街道西河路1号,,,,
21014,颐澳湾花园,佛山市三水区西南街道文锋西路59号,,,,
21016,富和锦园,佛山市三水区西南街道锦江路8号,,,,
21018,富港房产楼盘,佛山市三水区,,,,
21022,海畔名苑,佛山市三水区,,,,
26434,灯湖华府,佛山市南海区桂城街道南海大道北8号,,,,
21028,山水凯旋花园,佛山市三水区白坭镇黄金大道19号之三,,,,
21038,山水凯旋花园,佛山市三水区黄金大道35号山水凯旋花园十五座、十六座,,,,
21040,大布沙第三小区,佛山市三水区大塘镇大布沙爱民西路11号,,,,
21043,赤岗小区,佛山市西南街道赤岗路15号,,,,
21045,大塘房产楼盘,佛山市三水区,,,,
21050,汇江名苑,佛山市三水区大塘镇大布沙半岛西路19号,,,,
21052,恒盛房产楼盘,佛山市三水区,,,,
21054,德兴四街,德兴四街二十三座,,,,
21056,第一建筑房产楼盘,佛山市三水区,,,,
21059,新城区十七小区,新城区十七小区,,,,
21061,月桂东,月桂东,,,,
21063,乐平广场花苑,佛山市三水区乐平镇府前路2号,,,,
21076,塘福路4号,佛山市三水区,,,,
21090,三建集团房产楼盘,佛山市三水区,,,,
21093,德兴小区,德兴二街十三座,,,,
21095,景翠轩,佛山市三水区白坭镇黄金大道39号之一,,,,
21667,御龙湾花园,佛山市三水区西南街道西青大道28号,,,,
21670,骏大房地产公司,三水市西南镇中山中路60号,,,,
21672,乐陶居,佛山市三水区,,,,
21678,城镇建设公司楼盘,十小区34、35、36座503,,,,
21682,山水凯旋花园,佛山市三水区白坭镇黄金大道19号之三,,,,
21683,捷和广场,佛山市三水区西南街道南丰大道23号,,,,
21687,奥利花园,佛山市三水区大塘镇大沙锦塘路8号,,,,
21685,山水庄园北区B组团,佛山市三水区云东海街道山水庄园(佛山市三水区西南街道林果场“笑天岩、九虱岩、芦顶”（土名）B号地),,,,
21690,景翠轩,佛山市三水区白坭镇,,,,
21775,岭南澳苑,佛山市三水区乐平镇南边大道18号,,,,
21820,智汇大厦,佛山市三水区西南街道环城路12号,,,,
21684,全信·御景南湖花园,佛山市三水区云东海街道千叶路3号,,,,
21689,三水恒福南湾华府,佛山市三水区西南街道沿江东路6号,,,,
21695,千叶花园,佛山市三水区云东海街道,,,,
21855,山水领寓,佛山市三水区西南街道塘福路3号,,,,
21693,山水领寓,佛山市三水区西南街道,,,,
21841,誉江华府,佛山市三水区白坭镇1234,,,,
21011,颐澳湾花园,佛山市三水区西南街道文锋西路59号,,,,
22304,俊景花园二期,佛山市南海区狮山镇官窑办事处瑶平路35号,,,,
22309,俊景花园,佛山市南海区官窑镇瑶平路35号,,,,
22315,豪景雅苑B区,南海区官窑镇瑶平路北开发区,,,,
22320,豪景雅苑,官窑镇瑶平路北侧,,,,
22328,俊惠花园,官窑镇康宁路,,,,
22329,桂城丽雅苑北区33-40座及27-43座的地下车库,南海大道北33号丽雅苑,,,,
22332,桂城丽雅苑中区14-16座及地下层车位,南海大道北33号丽雅苑,,,,
22335,丽雅苑四期摩托车位,南海大道北33号,,,,
22336,丽雅苑北区38-40座首二层车位,南海大道北33号丽雅苑,,,,
22338,桂城丽雅苑中区17-26座及车位,南海大道北33号丽雅苑,,,,
22340,桂城丽雅苑北区27-32、41-43座,丽雅苑小区内,,,,
22342,丽雅苑一期摩托车位,南海大道北33号,,,,
22343,桂城丽雅苑中区小区会所,会所,,,,
22345,丽雅苑二期摩托车位,南海大道北33号,,,,
22346,丽雅苑南区,佛山市南海区桂城南海大道北33号丽雅苑南区,,,,
22351,丽雅苑北区27-29、41-43座首、二层车位,南海大道北33号丽雅苑,,,,
22352,桂城丽雅苑中区9-12座及首层、二层车位,南海大道北33号丽雅苑,,,,
22354,桂城丽雅苑中区5-8座及首层二层、车位,南海大道号北33号丽雅苑,,,,
22356,丽雅苑三期摩托车位,南海大道北33号,,,,
22357,桂城丽雅苑中区1-4座及首、二层车位,南海大道北33号丽雅苑,,,,
22359,丽雅苑北区,南海大道北33号丽雅苑,,,,
22362,桂城丽雅苑南区物业管理用房,南海大道北33号丽雅苑,,,,
22363,西樵商贸广场（一期）,西樵轻纺城,,,,
22365,西樵雅居乐花园,西樵轻纺城东区,,,,
22369,桂南名都,广东省佛山市南海区桂城街道南桂东路66号桂南名都,,,,
22376,桂城花苑广场1-13、26、32、33座,南桂东路,,,,
22379,桂城花苑广场52-54、57-59座、幼儿园,南桂东路,,,,
22384,桂城花苑广场37、38、50、51座,南桂东路,,,,
22390,桂城花苑广场14-25、27-31、44座,南桂东路,,,,
22394,桂城花苑广场47-49、55、56、60-64座,南桂东路,,,,
22402,桂城翠逸庭苑,海三路,,,,
22404,桂城花苑广场34-36、39-43、46座、小学,南桂东路,,,,
26483,瑞安花园,佛山市南海区大沥镇黄岐广佛路南侧,,,,
22430,银丰花园南区,南海区盐步广佛公路横江路段28号,,,,
22441,银丰花园商住楼,南海市盐步广佛路横江路段,,,,
21097,绿湖爱伦堡花园,佛山市三水区云东海街道绿湖爱伦堡花园,,,,
21143,锦溢华庭,佛山市三水区,,,,
21163,锦盈嘉园,佛山市三水区西南街道口岸大道26号,,,,
21179,雅居乐,佛山市三水区,,,,
21223,誉泰景园,佛山市三水区西南街道锦江路7号,,,,
21228,华侨新村,西南街道华侨新村北,,,,
21230,房管住宅公司,教育西路5号二座,,,,
21235,雍翠新城,佛山市三水区,,,,
21246,丽日坚美森林湖,佛山市三水区云东海街道云东海大道6号,,,,
21268,文城房产楼盘,佛山市三水区,,,,
21270,林海尚都,佛山市三水区云东海街道云东海大道1号,,,,
21285,三水商业城,佛山市三水区西南镇广海大道中27号,,,,
21287,粤三房产小区,三水区乐平镇南边市场东路2号,,,,
21289,尚南雅筑,佛山市三水区西南街道南丰大道七号,,,,
21291,逸涛房产楼盘,佛山市三水区,,,,
21294,逸和名居,佛山市三水区西南街道塘九路12号,,,,
21296,奥林匹克花园,佛山市三水区西南街道广海大道东26号,,,,
21306,时代廊桥花园,佛山市三水区,,,,
21334,萌茵花园,佛山市三水区南山镇民乐一路1号萌茵花园,,,,
21346,山水龙盘花园,佛山市三水区白坭镇,,,,
21376,闽强房产楼盘,佛山市三水区,,,,
21386,山水庄园,佛山市三水区西南街道三水大道中山水庄园128号,,,,
21415,冠益房产楼盘,佛山市三水区,,,,
21417,御江南国际社区,佛山市三水区西南街道金泉大道3号,,,,
21482,东海蓝湾,佛山市三水区,,,,
21500,东海蓝湾,佛山市三水区教育东路11号,,,,
21502,百合嘉园,佛山市三水区,,,,
21520,教育西路,教育西路小区,,,,
21522,成业汇景苑,佛山市三水区,,,,
21530,人民三路,人民三路100号706,,,,
21532,海侨小区,西南街道海侨街三巷,,,,
21534,沙头开发区一小区,涌南一街7号二座,,,,
21536,沙头小区,沙头小区,,,,
21930,登骏数码城,佛山市三水区乐平镇,,,,
21905,雅居乐雍景园,佛山市三水区西南街道德兴北路2号,,,,
21945,恒达永安广场,佛山市三水区西南街道张边路8号恒达永安广场,,,,
21890,朗月华庭,佛山市三水区白坭镇黄金大道92号,,,,
21935,南景湾花园,佛山市三水区乐平镇南边大道103号,,,,
21885,朗月华庭,佛山市三水区白坭镇黄金大道92号,,,,
21631,山水一品花园,佛山市三水区西南街道三兴路11号,,,,
26632,仙湖盛世家园3栋,广东省佛山市南海区丹灶镇仙湖环湖路6号仙湖盛世家园3座,,,,
21958,金碧商城,南海区大沥金城大道,,,,
21961,金雅轩,南海市大沥城区城南二路,,,,
26424,智博花园,佛山市南海区大沥镇桂和路西水头路段,,,,
26430,柏悦华府,佛山市南海区里水镇-里水大道中163号,,,,
21966,金碧华庭,南海市大沥镇金城大道,,,,
26633,仙湖盛世家园4栋,广东省佛山市南海区丹灶镇仙湖环湖路6号仙湖盛世家园4座,,,,
21980,金名商厦,南海区大沥镇桂江路西南侧金城商住小区,,,,
21985,硫都大厦,南海市大沥桂江路金城小区内,,,,
21995,金逸轩,南海市大沥城区育英南路5号,,,,
21997,嘉怡花园,南海市大沥区广云路嘉怡花园,,,,
22003,南海祈福南湾半岛花园,佛山市南海区丹灶镇祈福南湾半岛花园,,,,
22064,康景轩,南海区西樵镇启沅路6号,,,,
22066,豪景楼,西樵官山海北东路8号,,,,
22068,西樵汇丰半岛花园,"佛山市南海区西樵镇西樵村""吉水窦""",,,,
22070,南海祈福南湾半岛,佛山市南海区丹灶镇祈福南湾半岛,,,,
22151,祈福湖滨南岸,佛山市南海区丹灶镇仙湖旅游度假区,,,,
22155,祈福湖滨花园,佛山市南海区丹灶镇仙湖旅游度假区,,,,
22167,兴隆楼,南海区狮山镇小塘塘新中路63号兴隆楼,,,,
22169,兴城花苑,小塘镇狮山新城开发区,,,,
22671,金珀顿楼,大沥镇黄岐广佛路（嘉洲广场侧）,,,,
22673,中南海晖园,佛山市南海区黄岐南海路,,,,
22680,中南花园二期,广佛家私城侧,,,,
26448,银汇华庭,佛山市南海区丹灶镇,,,,
26442,银汇华庭,佛山市南海区丹灶镇桂丹西路11号,,,,
26447,欧浦城市花园,佛山市南海区狮山镇科技西路6号,,,,
22690,华辉花园第六期,盐步平地大道,,,,
22692,富逸居,盐步区环镇路富逸居,,,,
22694,河西花园,南海市盐步区河西大道河西花园,,,,
26461,承展大厦北楼,佛山市南海区桂城街道海四路19号,,,,
22700,康怡居,佛山市南海区盐步新城区建设西路,,,,
22705,骏怡居,南海市盐步区环镇路,,,,
22710,雅居蓝湾,佛山市南海区大沥镇盐步穗盐东路33号,,,,
22753,裕景花园,盐步区盐步大道涌表段东侧裕景花园,,,,
22756,金信花园,南海市里水镇南盐公路沙涌段,,,,
22758,盛丰花园,乐安开发区七区,,,,
22759,富盈嘉庭,佛山市南海区罗村街道乐安开发区南二路7号,,,,
22761,富景花园,乐安开发区北区,,,,
22766,鸿安庭苑,乐安开发区七区,,,,
22770,同乐花园,佛山市南海区罗村街道乐安同乐花园乐怡楼,,,,
22771,乐城花苑,乐安开发区七区十小区,,,,
22773,富安花园,罗村乐安机场路南侧,,,,
22777,富丽新村,罗村乐城三路60号,,,,
22779,天安鸿基花园三期,南海区狮山镇松岗南国桃园天安鸿基花园,,,,
22799,天安鸿基花园一期,南海市松岗镇南国桃园鸿基大道两侧,,,,
22819,天安鸿基花园二期,佛山市南海区松岗镇南国桃园,,,,
22834,香格里拉花园四期公寓,广东省佛山市南海区狮山镇松岗南国桃园香格里拉花园,,,,
22886,骏景豪庭二期,"南海区盐步重穗盐东路虎榜经济社""橙""地段",,,,
22843,香格里拉花园一期,广东省佛山市南海区狮山镇松岗南国桃园香格里拉花园,,,,
22883,香格里拉花园别墅,广东省佛山市南海区狮山镇松岗南国桃园香格里拉花园,,,,
22888,金溪蓝湾,佛山市南海区里水镇和顺官和路北二街3号,,,,
22896,雅居轩,佛山市南海区大沥镇盐步皇朝西路9号,,,,
22898,雅居尚筑,佛山市南海区大沥镇盐步,,,,
22903,碧水湾,大沥镇黄岐北村公路,,,,
22922,金莎蓝湾,佛山市南海区丹灶镇金宁社区桂丹西路12号,,,,
22928,骏景豪庭A座,盐步镇盐桂路,,,,
22930,骏景豪庭三期,佛山市南海区大沥盐步街道跃进路37号,,,,
22935,骏景豪庭B座,南海市盐步镇盐桂路,,,,
22937,碧翠苑,佛山市南海区大沥镇穗盐东路8号,,,,
22945,珠江半岛花园,南海市黄岐区北村水闸侧,,,,
22958,宏威大厦,黄岐广佛路105号宏威大厦,,,,
22959,宏威新村,黄岐区宏威路,,,,
22962,宏威中心,黄岐区宏威路,,,,
22964,广东中大小商品城,广东佛山市南海区盐步广佛公路平地路段南43号,,,,
22982,芳菲苑,佛山市南海区罗村镇机场路,,,,
22992,嘉禾新城美丽家园,罗村镇乐安开发区机场路,,,,
23016,嘉禾新城,罗村镇机场路,,,,
23018,乐信豪庭,南海市罗村镇乐信豪庭联星大道南区,,,,
23020,雅居豪庭,罗村镇桂丹路罗村路段,,,,
23023,海星居,佛山市南海区罗村街道北湖二路,,,,
26467,和丰颖苑,佛山市南海区丹灶镇桂丹西路121号,,,,
23032,俊雅名园,罗村镇桂丹路罗村路段,,,,
23041,罗湖花园,罗村镇罗湖中路,,,,
23046,俊雅苑,罗村镇桂丹路罗村路段金湖三街,,,,
23049,罗村花苑A区,罗村镇府前路,,,,
23052,湖景苑,佛山市南海区罗村北湖三路,,,,
23061,豪景花苑,罗湖北区金湖三街,,,,
23062,银海花园,佛山市南海区大沥镇黄岐广佛路1号区广佛路1号,,,,
23063,岐苑大厦,南海市黄岐区鄱阳路,,,,
23067,怡富广场,南海市黄岐区黄海路,,,,
23069,基业花园17-25号楼,平洲区三山基业花园内,,,,
26444,星辰花苑,佛山市南海区罗村街道联星社区居委会南区六路3号,,,,
26501,越隆轩,佛山市南海区桂城街道-桂城,,,,
26506,憬晖华府,佛山市南海区九江镇洛浦路28号之二,,,,
26991,狮山镇小塘城区思贤东邨恒悦楼,佛山市南海区狮山镇-小塘,,,,
22187,绿泉花园,西岸庆云大道侧,,,,
22190,汇丰花园,西樵碧玉区,,,,
22192,振锋楼,西樵江浦西路,,,,
22194,富春江A座,西樵马头岗,,,,
22197,汇泉花园,佛山市南海区西樵坑边塱,,,,
22202,华景楼,小塘镇城区前进路,,,,
22203,俊惠楼,小塘城区思贤东村,,,,
22204,惠雅苑,小塘镇城区三环路,,,,
22211,锦绣花园1、2、3、4、5号楼,小塘狮山新城塘新街一路,,,,
22214,业雅花苑,小塘城区永安路,,,,
22217,金鹰楼,小塘镇城区三环路,,,,
22219,业翠花苑,狮山镇小塘城区思贤北村,,,,
22227,骏铭花园3号楼,南海区狮山镇小塘城区思贤东邨骏铭花园3号楼,,,,
22228,丽景楼,小塘镇城区前进路,,,,
22230,源盛楼,小塘镇城区教育路,,,,
22233,锦绣花苑B区,佛山市南海区狮山新城塘新一路锦绣花苑B区,,,,
22234,七星山庄,佛山市南海区西樵镇西岸,,,,
22235,江滨花园海怡居,佛山市南海区西樵镇樵高路江滨花园内,,,,
22264,海怡居第五期,西樵大桥右侧,,,,
22271,江滨花园滨城,佛山市南海区西樵镇樵高路江滨花园内,,,,
22276,海怡居二期商品房,江滨花园内,,,,
22278,海怡居四期,官山城区江滨花园内,,,,
22285,海怡居三期商品房,江滨花园内,,,,
22294,海怡居一期商品房,江滨花园内,,,,
26456,嘉裕华轩,佛山市南海区九江镇南方社区南兴路48号,,,,
26433,和丰颖苑,佛山市南海区丹灶镇桂丹西路121号,,,,
22301,枫景居庭,南海区官窑镇振兴路,,,,
23523,黄岐瑞丽花园D、E座,黄岐,,,,
23527,黄岐瑞丽花园I、J、K、L座,黄岐,,,,
23532,桂城石丽景苑,桂城石,,,,
24382,时代名轩,广东省佛山市南海区桂城街道南一路31号,,,,
24403,碧翠华庭,南海黄歧洞庭路,,,,
24412,南港名轩,广东省佛山市南海区桂城街道平洲南港路4号南港名轩,,,,
24417,向明苑3期,佛山市南海区九江镇沙头北村,,,,
24424,名汇城市花园,佛山市南海区大沥镇城南二路,,,,
24426,海逸锦绣桃园,佛山市南海区狮山镇松岗商业大道39号,,,,
24441,海逸锦绣誉峰苑,佛山市南海区狮山镇松岗商业大道50号,,,,
24444,海逸盛世雅居,佛山市南海区狮山镇松岗大道5号,,,,
24446,滨江名苑,佛山市南海区狮山镇小塘开发区“高低亭”地段,,,,
24455,保利花园,广东省佛山市南海区桂城街道海七路39号,,,,
24499,保利水城公馆,广东省佛山市南海区桂城街道灯湖西路20号,,,,
24505,保利东语花园,广东省佛山市南海区狮山镇松岗禅炭路901号,,,,
24519,保利星座花园,佛山市南海区桂城A16街区,,,,
24526,保利水城,广东省佛山市南海区桂城街道灯湖西路20号保利水城,,,,
24529,时代倾城,南海区罗村街道北湖一路4号,,,,
24552,豪景新城,佛山市南海区狮山镇官窑瑶平路37号,,,,
24576,江南名居锦苑,佛山市南海区桂城南一路39号,,,,
24578,江南名居,佛山市南海区桂城海八路G14街区,,,,
24603,天安南海数码新城,佛山市南海区桂城简平路1号,,,,
24633,合生君景湾,佛山市南海区里水镇南盐公路,,,,
24655,碧琴湾,佛山市南海区桂城街道平洲南港路12号,,,,
24668,凰樵圣堡,南海区西樵镇北江大堤路2号,,,,
24723,汇星苑,小塘育才街6号,,,,
24729,丽湖名轩,佛山市南海区西樵镇银杏路6号,,,,
24747,翠园雅居,佛山市南海区西樵镇银杏路9号翠园雅居,,,,
24755,时尚丽居,佛山市南海区丹灶镇金沙金港路时尚丽居,,,,
